tick,timestamp,open,high,low,close,volume
0,"2026-06-14T00:57:00Z","64528.65000000","64532.47000000","64526.00000000","64528.65000000","1.77881000"
1,"2026-06-14T00:58:00Z","64528.64000000","64564.22000000","64528.64000000","64554.99000000","21.03453000"
2,"2026-06-14T00:59:00Z","64554.99000000","64565.04000000","64552.62000000","64565.00000000","19.74472000"
3,"2026-06-14T01:00:00Z","64565.01000000","64584.91000000","64542.56000000","64565.60000000","40.08599000"
4,"2026-06-14T01:01:00Z","64564.91000000","64564.92000000","64564.91000000","64564.92000000","3.49293000"
5,"2026-06-14T01:02:00Z","64564.91000000","64564.92000000","64540.00000000","64540.01000000","5.08748000"
6,"2026-06-14T01:03:00Z","64540.00000000","64540.00000000","64507.25000000","64507.26000000","4.04306000"
7,"2026-06-14T01:04:00Z","64507.26000000","64533.70000000","64507.25000000","64533.70000000","3.18388000"
8,"2026-06-14T01:05:00Z","64533.70000000","64533.70000000","64533.58000000","64533.58000000","2.07090000"
9,"2026-06-14T01:06:00Z","64533.59000000","64598.46000000","64533.58000000","64598.46000000","4.80835000"
10,"2026-06-14T01:07:00Z","64598.46000000","64611.25000000","64598.46000000","64598.55000000","9.15397000"
11,"2026-06-14T01:08:00Z","64598.56000000","64598.56000000","64586.00000000","64592.29000000","1.63757000"
12,"2026-06-14T01:09:00Z","64592.28000000","64620.00000000","64592.28000000","64617.08000000","2.05716000"
13,"2026-06-14T01:10:00Z","64617.07000000","64645.00000000","64603.85000000","64645.00000000","19.11305000"
14,"2026-06-14T01:11:00Z","64644.99000000","64689.83000000","64644.99000000","64670.13000000","15.25008000"
15,"2026-06-14T01:12:00Z","64670.13000000","64670.13000000","64652.00000000","64652.00000000","1.18364000"
16,"2026-06-14T01:13:00Z","64652.00000000","64672.94000000","64644.61000000","64652.00000000","8.84805000"
17,"2026-06-14T01:14:00Z","64652.01000000","64652.01000000","64637.99000000","64638.00000000","8.95492000"
18,"2026-06-14T01:15:00Z","64637.99000000","64654.00000000","64631.67000000","64654.00000000","7.78224000"
19,"2026-06-14T01:16:00Z","64653.99000000","64710.00000000","64653.99000000","64696.44000000","10.55576000"
20,"2026-06-14T01:17:00Z","64696.45000000","64700.57000000","64642.06000000","64657.64000000","66.16856000"
21,"2026-06-14T01:18:00Z","64657.65000000","64681.81000000","64657.65000000","64662.01000000","3.24108000"
22,"2026-06-14T01:19:00Z","64662.01000000","64673.91000000","64648.38000000","64670.80000000","9.46867000"
23,"2026-06-14T01:20:00Z","64670.79000000","64670.80000000","64650.68000000","64650.69000000","1.24877000"
24,"2026-06-14T01:21:00Z","64650.68000000","64685.99000000","64650.68000000","64682.94000000","4.10988000"
25,"2026-06-14T01:22:00Z","64682.73000000","64682.74000000","64670.79000000","64670.79000000","1.66188000"
26,"2026-06-14T01:23:00Z","64670.79000000","64670.80000000","64642.76000000","64642.77000000","1.48284000"
27,"2026-06-14T01:24:00Z","64642.76000000","64654.94000000","64639.99000000","64654.94000000","3.09925000"
28,"2026-06-14T01:25:00Z","64654.94000000","64660.00000000","64646.61000000","64646.62000000","1.19373000"
29,"2026-06-14T01:26:00Z","64646.62000000","64655.63000000","64646.62000000","64655.62000000","4.10172000"
30,"2026-06-14T01:27:00Z","64655.63000000","64655.63000000","64646.36000000","64646.37000000","1.43781000"
31,"2026-06-14T01:28:00Z","64646.36000000","64646.37000000","64626.30000000","64626.31000000","1.65883000"
32,"2026-06-14T01:29:00Z","64626.30000000","64660.01000000","64626.30000000","64660.00000000","13.58252000"
33,"2026-06-14T01:30:00Z","64660.01000000","64660.01000000","64600.00000000","64600.01000000","19.42691000"
34,"2026-06-14T01:31:00Z","64600.01000000","64605.87000000","64593.27000000","64605.87000000","4.44371000"
35,"2026-06-14T01:32:00Z","64605.87000000","64611.91000000","64605.86000000","64606.00000000","2.02761000"
36,"2026-06-14T01:33:00Z","64606.00000000","64629.40000000","64605.99000000","64620.00000000","4.93820000"
37,"2026-06-14T01:34:00Z","64619.99000000","64620.00000000","64585.71000000","64585.72000000","3.30912000"
38,"2026-06-14T01:35:00Z","64585.72000000","64599.40000000","64585.72000000","64599.40000000","2.30556000"
39,"2026-06-14T01:36:00Z","64599.40000000","64599.40000000","64593.27000000","64593.27000000","0.97955000"
40,"2026-06-14T01:37:00Z","64593.28000000","64600.00000000","64593.27000000","64599.99000000","1.26470000"
41,"2026-06-14T01:38:00Z","64600.00000000","64600.00000000","64569.27000000","64569.28000000","8.65044000"
42,"2026-06-14T01:39:00Z","64569.27000000","64596.01000000","64562.90000000","64583.09000000","159.85373000"
43,"2026-06-14T01:40:00Z","64583.09000000","64583.88000000","64574.05000000","64583.87000000","0.78057000"
44,"2026-06-14T01:41:00Z","64583.87000000","64595.00000000","64583.87000000","64595.00000000","2.69900000"
45,"2026-06-14T01:42:00Z","64595.00000000","64615.00000000","64594.99000000","64607.58000000","62.49126000"
46,"2026-06-14T01:43:00Z","64607.59000000","64615.00000000","64596.78000000","64596.78000000","17.82690000"
